epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.99,0.85347,2.57181,0.00733,0.56445,0.58201,0.48261,0.36131,0.90221,2.32111,0.01102,0.000657005,0.000657005,0.000657005
2,50.4387,0.92223,0.71402,0.00775,0.75344,0.8024,0.81587,0.6045,0.9508,1.00517,0.01231,0.00129746,0.00129746,0.00129746
3,73.6521,0.93776,0.58962,0.00802,0.70702,0.67066,0.73896,0.52425,1.10587,1.51601,0.01421,0.00191152,0.00191152,0.00191152
4,87.7269,0.97173,0.51704,0.00864,0.758,0.80838,0.78762,0.56722,1.0769,0.98891,0.01373,0.0018812,0.0018812,0.0018812
5,104.619,0.9033,0.48607,0.00794,0.89731,0.84431,0.94879,0.71169,1.04689,0.57917,0.01345,0.0018416,0.0018416,0.0018416
6,115.121,0.9219,0.4837,0.00805,0.83613,0.82036,0.88021,0.67319,0.98092,0.64446,0.01284,0.001802,0.001802,0.001802
7,126.367,0.85518,0.44849,0.00729,0.92311,0.93461,0.97613,0.78894,0.77548,0.39381,0.00982,0.0017624,0.0017624,0.0017624
8,136.866,0.83158,0.43883,0.00704,0.92121,0.91015,0.9623,0.76863,0.82083,0.43742,0.01019,0.0017228,0.0017228,0.0017228
9,147.641,0.7549,0.40676,0.00649,0.90483,0.91087,0.94003,0.78468,0.72277,0.44245,0.00887,0.0016832,0.0016832,0.0016832
10,158.401,0.77371,0.39884,0.00637,0.88825,0.95188,0.9604,0.74328,0.84567,0.38836,0.01091,0.0016436,0.0016436,0.0016436
11,168.938,0.79278,0.43479,0.00684,0.96778,0.93413,0.97577,0.80611,0.72159,0.34033,0.00882,0.001604,0.001604,0.001604
12,179.508,0.77544,0.3795,0.00691,0.97514,0.93948,0.98139,0.83202,0.67495,0.36,0.00823,0.0015644,0.0015644,0.0015644
13,190.462,0.74555,0.38013,0.00625,0.93144,0.95808,0.97853,0.85534,0.59143,0.2921,0.0072,0.0015248,0.0015248,0.0015248
14,201.707,0.71701,0.3424,0.00589,0.81386,0.8378,0.83967,0.68871,0.86019,0.61619,0.0106,0.0014852,0.0014852,0.0014852
15,212.294,0.72087,0.34284,0.00621,0.93015,0.95686,0.98299,0.82694,0.66888,0.33761,0.00811,0.0014456,0.0014456,0.0014456
16,223.849,0.73496,0.32297,0.00622,0.97996,0.96407,0.98769,0.84726,0.61968,0.27012,0.0073,0.001406,0.001406,0.001406
17,237.78,0.72883,0.32143,0.00593,0.97359,0.98802,0.98904,0.85367,0.61448,0.24422,0.00769,0.0013664,0.0013664,0.0013664
18,250.722,0.6847,0.29066,0.00582,0.9558,0.90633,0.95898,0.79877,0.70767,0.37174,0.00835,0.0013268,0.0013268,0.0013268
19,263.37,0.69604,0.32489,0.00587,0.95702,0.95808,0.97582,0.83972,0.65018,0.26591,0.00813,0.0012872,0.0012872,0.0012872
20,277.759,0.68092,0.31729,0.00556,0.96742,0.96407,0.97917,0.82889,0.64828,0.27545,0.00771,0.0012476,0.0012476,0.0012476
21,291.994,0.66958,0.29429,0.00551,0.96974,0.94012,0.98991,0.85775,0.61127,0.26059,0.0076,0.001208,0.001208,0.001208
22,309.301,0.65114,0.30212,0.00533,0.95792,0.97006,0.98692,0.84234,0.63232,0.2611,0.00788,0.0011684,0.0011684,0.0011684
23,321.078,0.62813,0.28633,0.00501,0.92799,0.97006,0.98496,0.87366,0.51279,0.24088,0.00606,0.0011288,0.0011288,0.0011288
24,332.338,0.63864,0.27985,0.00534,0.99378,0.95597,0.98894,0.85458,0.56373,0.2186,0.0068,0.0010892,0.0010892,0.0010892
25,344.712,0.62154,0.27129,0.00509,0.96383,0.95747,0.98009,0.82952,0.6343,0.25454,0.00744,0.0010496,0.0010496,0.0010496
26,355.602,0.64857,0.28611,0.00529,0.97325,0.97605,0.98757,0.86912,0.53043,0.23809,0.00624,0.00101,0.00101,0.00101
27,366.503,0.62512,0.28392,0.00504,0.93173,0.98071,0.98653,0.85493,0.56608,0.22374,0.00674,0.0009704,0.0009704,0.0009704
28,378.285,0.5884,0.25839,0.00476,0.98303,0.97006,0.9887,0.85722,0.55832,0.21562,0.00648,0.0009308,0.0009308,0.0009308
29,389.624,0.58548,0.26895,0.00483,0.97407,0.97006,0.98912,0.86439,0.53993,0.21474,0.00633,0.0008912,0.0008912,0.0008912
30,401.054,0.59865,0.25079,0.00492,0.98077,0.98802,0.98954,0.87974,0.4965,0.19291,0.00581,0.0008516,0.0008516,0.0008516
31,411.698,0.58107,0.26131,0.00471,0.98194,0.98802,0.98951,0.86935,0.53793,0.18665,0.00635,0.000812,0.000812,0.000812
32,422.77,0.58014,0.25335,0.00461,0.97665,0.97605,0.98665,0.87638,0.51331,0.21121,0.00598,0.0007724,0.0007724,0.0007724
33,434.306,0.55022,0.24911,0.00433,0.99385,0.96826,0.98843,0.88054,0.50911,0.18588,0.00589,0.0007328,0.0007328,0.0007328
34,458.404,0.54501,0.24713,0.00434,0.94785,0.97949,0.98863,0.87286,0.51204,0.22952,0.00599,0.0006932,0.0006932,0.0006932
35,472.619,0.55458,0.23262,0.00441,0.97586,0.96842,0.98942,0.88668,0.49768,0.22484,0.00591,0.0006536,0.0006536,0.0006536
36,488.318,0.55123,0.24381,0.00439,0.96957,0.99401,0.99103,0.89307,0.47666,0.17499,0.00537,0.000614,0.000614,0.000614
37,510.103,0.53577,0.22328,0.00428,0.98806,0.9911,0.99123,0.89065,0.48541,0.17898,0.00559,0.0005744,0.0005744,0.0005744
38,525.059,0.53924,0.23264,0.00421,0.98635,0.99401,0.99439,0.89426,0.4795,0.17125,0.00535,0.0005348,0.0005348,0.0005348
39,535.693,0.51593,0.21317,0.0042,0.99248,0.98802,0.99175,0.8974,0.46049,0.1602,0.00521,0.0004952,0.0004952,0.0004952
40,546.275,0.52207,0.2267,0.00412,0.96476,0.98802,0.98929,0.89208,0.46146,0.17121,0.00541,0.0004556,0.0004556,0.0004556
41,575.108,0.45794,0.17609,0.00481,0.99218,0.97605,0.99113,0.89374,0.46835,0.16949,0.0054,0.000416,0.000416,0.000416
42,585.741,0.45783,0.17429,0.00481,0.98741,0.98802,0.99033,0.89416,0.4661,0.16669,0.00529,0.0003764,0.0003764,0.0003764
43,596.118,0.44447,0.16659,0.00458,0.98793,0.98039,0.99071,0.88716,0.47399,0.18081,0.00537,0.0003368,0.0003368,0.0003368
44,606.345,0.4423,0.16844,0.00461,0.99395,0.98347,0.99169,0.89165,0.48104,0.16445,0.00557,0.0002972,0.0002972,0.0002972
45,616.382,0.417,0.16185,0.00423,0.98205,0.98294,0.99052,0.89329,0.46912,0.16934,0.00543,0.0002576,0.0002576,0.0002576
46,626.178,0.41398,0.15851,0.00419,0.99164,0.99401,0.99201,0.89996,0.43603,0.14853,0.00497,0.000218,0.000218,0.000218
47,636.132,0.4086,0.15997,0.00408,0.994,0.99285,0.99147,0.90315,0.43144,0.146,0.0049,0.0001784,0.0001784,0.0001784
48,647.78,0.40077,0.15714,0.00412,0.99265,0.99401,0.99231,0.90703,0.4313,0.14866,0.00492,0.0001388,0.0001388,0.0001388
49,658.115,0.39111,0.1445,0.00387,0.99366,0.99401,0.99308,0.90309,0.43439,0.146,0.00491,9.92e-05,9.92e-05,9.92e-05
50,668.168,0.39082,0.14568,0.00388,0.99397,0.98764,0.99247,0.9093,0.42726,0.15011,0.00483,5.96e-05,5.96e-05,5.96e-05
